2,2,0.85,0,,2,17653486.1475157,18731820.122947,19825858.5851997,20933582.4519253,21923192.9230269,22874098.2705313,23453951.3727081,24044380.3633349,24645965.4957322,25257783.9692996,25883136.7098144,26520941.4628008,27171631.2707142,27835648.2161774,28513448.0006118,29205513.7350125,29912351.1507297,30634467.6617538,31372372.0278737,32126612.2882404,32897721.8603984,33686263.2186926,34492788.3801228,35317930.8200982,36162302.0456293
2,2,,,,2,0,0,0,0,130042.096237879,299653.018469149,857865.729640348,1413042.75844218,1963711.66978502,2148810.18692879,2670851.75615991,3183617.57550759,3685574.79954418,4175237.22358199,4651144.4152287,5111850.66020486,5555966.10866153,5982116.42020716,6388973.61070661,6775287.54894398,7139692.22980582,7480867.79474508,7797423.72781073,8088241.04705987,8352046.76991199
2,1,,,,2,9860759.51285561,10785914.3332827,11730800.1902543,12693761.5413396,13543202.0643706,14358884.3677497,14808668.4094468,15274039.6683347,15755237.8666717,16251091.7082175,16764865.3045803,17295554.6313934,17843560.5187144,18409297.4385393,18993188.8798917,19595658.1307423,20217132.6923325,20858060.1556281,21518907.8644781,22200141.0261534,22902256.2440296,23625756.1694273,24371174.4122617,25139020.2001219,25929840.615223
2,3,7792726.63466013,0,,2,7792726.63466013,7945905.78966425,8095058.3949454,8239820.91058574,8379990.85865633,8515213.90278155,8645282.96326136,8770340.69500024,8890727.62906047,9006692.26108211,9118271.40523403,9225386.83140734,9328070.75199982,9426350.77763816,9520259.12072011,9609855.60427016,9695218.45839719,9776407.50612567,9853464.16339559,9926471.26208699,9995465.61636875,10060507.0492653,10121613.9678612,10178910.6199763,10232461.4304063
2,2,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,0.25,0,,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.526416394976371,0.526416394976371,0.526416394976371,0.526416394976371,0.526416394976371,0.526416394976371,0.526416394976371,0.526416394976371,0.526416394976371,0.526416394976371,0.526416394976371,0.526416394976371,0.526416394976371,0.526416394976371,0.526416394976371,0.526416394976371
2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0.05,0,,1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
